Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Admin2,FIPS,Combined_Key,Incident_Rate,People_Tested,People_Hospitalized,UID,ISO3
Colorado,US,2020-06-12 15:36:49.065518,37.82247444,-107.3004345,3,0.0,,3.0,Hinsdale,8053.0,"Hinsdale, Colorado, US",365.8536585365854,,,84008053,USA
Chukotka Autonomous Okrug,Russia,2020-06-12 15:36:49.065518,66.0006475,169.4900869,120,1.0,70.0,49.0,,,"Chukotka Autonomous Okrug, Russia",243.1709491772716,,,64313,RUS
Chuvashia Republic,Russia,2020-06-12 15:36:49.065518,55.4259922,47.0849429,3878,18.0,2030.0,1830.0,,,"Chuvashia Republic, Russia",314.99849323825435,,,64314,RUS
Dagestan Republic,Russia,2020-06-12 15:36:49.065518,43.057491600000006,47.1332224,6367,309.0,4688.0,1370.0,,,"Dagestan Republic, Russia",207.8080606811287,,,64315,RUS
Ingushetia Republic,Russia,2020-06-12 15:36:49.065518,43.11542075,45.01713552,2510,62.0,1850.0,598.0,,,"Ingushetia Republic, Russia",514.2989449700129,,,64316,RUS
Irkutsk Oblast,Russia,2020-06-12 15:36:49.065518,56.6370122,104.71922099999999,3656,20.0,980.0,2656.0,,,"Irkutsk Oblast, Russia",152.067531959762,,,64317,RUS
Ivanovo Oblast,Russia,2020-06-12 15:36:49.065518,56.9167446,41.435213700000006,3228,27.0,1348.0,1853.0,,,"Ivanovo Oblast, Russia",318.1405140314947,,,64318,RUS
Jewish Autonomous Okrug,Russia,2020-06-12 15:36:49.065518,48.57527615,132.66307460000002,367,4.0,275.0,88.0,,,"Jewish Autonomous Okrug, Russia",226.52363376004544,,,64319,RUS
Kabardino-Balkarian Republic,Russia,2020-06-12 15:36:49.065518,43.480604799999995,43.5978976,3734,35.0,1874.0,1825.0,,,"Kabardino-Balkarian Republic, Russia",431.2634842024051,,,64320,RUS
Kaliningrad Oblast,Russia,2020-06-12 15:36:49.065518,54.7293041,21.1489473,1984,31.0,976.0,977.0,,,"Kaliningrad Oblast, Russia",199.47737731487766,,,64321,RUS
Kalmykia Republic,Russia,2020-06-12 15:36:49.065518,46.2313018,45.3275745,1233,18.0,776.0,439.0,,,"Kalmykia Republic, Russia",447.69128545130405,,,64322,RUS
Kaluga Oblast,Russia,2020-06-12 15:36:49.065518,54.438277299999996,35.5272854,4923,39.0,2444.0,2440.0,,,"Kaluga Oblast, Russia",486.43553321160095,,,64323,RUS
Kamchatka Krai,Russia,2020-06-12 15:36:49.065518,57.191488199999995,160.03838190000002,1360,10.0,413.0,937.0,,,"Kamchatka Krai, Russia",430.9839426791356,,,64324,RUS
Karachay-Cherkess Republic,Russia,2020-06-12 15:36:49.065518,43.7368326,41.7267991,1969,9.0,509.0,1451.0,,,"Karachay-Cherkess Republic, Russia",422.2558196888303,,,64325,RUS
Karelia Republic,Russia,2020-06-12 15:36:49.065518,62.61940309999999,33.4920267,702,2.0,279.0,421.0,,,"Karelia Republic, Russia",112.7739829457464,,,64326,RUS
Kemerovo Oblast,Russia,2020-06-12 15:36:49.065518,54.53357809999999,87.342861,929,7.0,373.0,549.0,,,"Kemerovo Oblast, Russia",34.47281638456968,,,64327,RUS
Khabarovsk Krai,Russia,2020-06-12 15:36:49.065518,51.6312684,136.121524,2869,19.0,1443.0,1407.0,,,"Khabarovsk Krai, Russia",215.9900384099399,,,64328,RUS
Khakassia Republic,Russia,2020-06-12 15:36:49.065518,53.72258845,91.44293627,1266,10.0,902.0,354.0,,,"Khakassia Republic, Russia",235.52918720105373,,,64329,RUS
Khanty-Mansi Autonomous Okrug,Russia,2020-06-12 15:36:49.065518,61.0259025,69.0982628,4157,24.0,1657.0,2476.0,,,"Khanty-Mansi Autonomous Okrug, Russia",271.30161469166444,,,64330,RUS
Kirov Oblast,Russia,2020-06-12 15:36:49.065518,57.9665589,49.4074599,2479,23.0,1478.0,978.0,,,"Kirov Oblast, Russia",193.18318191948805,,,64331,RUS
Komi Republic,Russia,2020-06-12 15:36:49.065518,63.9881421,54.3326073,1929,28.0,1019.0,882.0,,,"Komi Republic, Russia",229.4044403851711,,,64332,RUS
Kostroma Oblast,Russia,2020-06-12 15:36:49.065518,58.424756,44.253327299999995,1066,12.0,575.0,479.0,,,"Kostroma Oblast, Russia",165.701885830468,,,64333,RUS
Krasnodar Krai,Russia,2020-06-12 15:36:49.065518,45.768401399999995,39.0261044,4815,49.0,3617.0,1149.0,,,"Krasnodar Krai, Russia",85.9296643835372,,,64334,RUS
Krasnoyarsk Krai,Russia,2020-06-12 15:36:49.065518,63.3233807,97.09799740000001,6159,64.0,2129.0,3966.0,,,"Krasnoyarsk Krai, Russia",214.11459841605952,,,64335,RUS
Kurgan Oblast,Russia,2020-06-12 15:36:49.065518,55.7655302,64.5632681,355,0.0,212.0,143.0,,,"Kurgan Oblast, Russia",41.98515263081332,,,64336,RUS
Kursk Oblast,Russia,2020-06-12 15:36:49.065518,51.6568453,36.4852695,3839,20.0,2103.0,1716.0,,,"Kursk Oblast, Russia",344.2317641900332,,,64337,RUS
Leningrad Oblast,Russia,2020-06-12 15:36:49.065518,60.185329599999996,32.3925325,3448,23.0,2578.0,847.0,,,"Leningrad Oblast, Russia",190.09645961883675,,,64338,RUS
Lipetsk Oblast,Russia,2020-06-12 15:36:49.065518,52.693517799999995,39.112266399999996,2878,9.0,1210.0,1659.0,,,"Lipetsk Oblast, Russia",250.2171359614537,,,64339,RUS
Magadan Oblast,Russia,2020-06-12 15:36:49.065518,62.48858785,153.9903764,432,4.0,220.0,208.0,,,"Magadan Oblast, Russia",299.8105363971379,,,64340,RUS
Mari El Republic,Russia,2020-06-12 15:36:49.065518,56.576750399999995,47.881751200000004,2283,17.0,2026.0,240.0,,,"Mari El Republic, Russia",334.5873642341789,,,64341,RUS
Mordovia Republic,Russia,2020-06-12 15:36:49.065518,54.4419829,44.466114399999995,2480,20.0,1327.0,1133.0,,,"Mordovia Republic, Russia",308.0531043803164,,,64342,RUS
Moscow,Russia,2020-06-12 15:36:49.065518,55.7504461,37.6174943,202935,3187.0,118024.0,81724.0,,,"Moscow, Russia",1622.6403809612755,,,64343,RUS
Moscow Oblast,Russia,2020-06-12 15:36:49.065518,55.50431579999999,38.0353929,47911,666.0,14955.0,32290.0,,,"Moscow Oblast, Russia",638.5251456509295,,,64344,RUS
Murmansk Oblast,Russia,2020-06-12 15:36:49.065518,68.00004179999999,33.9999151,3818,7.0,2663.0,1148.0,,,"Murmansk Oblast, Russia",506.66372948562616,,,64345,RUS
Nenets Autonomous Okrug,Russia,2020-06-12 15:36:49.065518,68.27557185,57.1686375,81,0.0,32.0,49.0,,,"Nenets Autonomous Okrug, Russia",184.1034615996545,,,64346,RUS
Nizhny Novgorod Oblast,Russia,2020-06-12 15:36:49.065518,55.47180329999999,44.091159399999995,13562,159.0,6580.0,6823.0,,,"Nizhny Novgorod Oblast, Russia",419.2593435292721,,,64347,RUS
North Ossetia - Alania Republic,Russia,2020-06-12 15:36:49.065518,42.793361100000006,44.6324493,3477,58.0,3186.0,233.0,,,"North Ossetia - Alania Republic, Russia",495.46500609178287,,,64348,RUS
Novgorod Oblast,Russia,2020-06-12 15:36:49.065518,58.2843833,32.516975699999996,1913,12.0,472.0,1429.0,,,"Novgorod Oblast, Russia",315.42880509698654,,,64349,RUS
Novosibirsk Oblast,Russia,2020-06-12 15:36:49.065518,54.9720169,79.48139240000002,4069,50.0,1907.0,2112.0,,,"Novosibirsk Oblast, Russia",145.9024852188125,,,64350,RUS
Omsk Oblast,Russia,2020-06-12 15:36:49.065518,56.09352629999999,73.5099936,2063,23.0,1189.0,851.0,,,"Omsk Oblast, Russia",105.25075239237562,,,64351,RUS
Orel Oblast,Russia,2020-06-12 15:36:49.065518,52.96854329999999,36.0692477,3392,35.0,1655.0,1702.0,,,"Orel Oblast, Russia",453.932903042769,,,64352,RUS
Orenburg Oblast,Russia,2020-06-12 15:36:49.065518,52.026926200000005,54.7276647,2643,11.0,1872.0,760.0,,,"Orenburg Oblast, Russia",133.63873551362175,,,64353,RUS
Penza Oblast,Russia,2020-06-12 15:36:49.065518,53.1655415,44.787918100000006,3535,28.0,2823.0,684.0,,,"Penza Oblast, Russia",265.4591467009098,,,64354,RUS
Perm Krai,Russia,2020-06-12 15:36:49.065518,58.5951603,56.3159546,2506,38.0,1689.0,779.0,,,"Perm Krai, Russia",95.53501514607403,,,64355,RUS
Primorsky Krai,Russia,2020-06-12 15:36:49.065518,45.0819456,134.726645,2702,26.0,1634.0,1042.0,,,"Primorsky Krai, Russia",141.24138738560728,,,64356,RUS
