Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Admin2,FIPS,Combined_Key,Incident_Rate,People_Tested,People_Hospitalized,UID,ISO3
Arkansas,US,2020-06-19 08:36:53.430046,35.59802983,-91.21494602,20,0.0,8.0,12.0,Jackson,5067.0,"Jackson, Arkansas, US",119.62437944853161,,,84005067,USA
New Jersey,US,2020-06-19 08:36:53.430046,41.03238628,-74.29954144,16664,1006.0,,15658.0,Passaic,34031.0,"Passaic, New Jersey, US",3320.6729025598515,,,84034031,USA
New Mexico,US,2020-06-19 08:36:53.430046,36.58006022,-105.63101979999999,33,0.0,,33.0,Taos,35055.0,"Taos, New Mexico, US",100.84649940408887,,,84035055,USA
New York,US,2020-06-19 08:36:53.430046,42.71348136,-73.51089874,515,,,515.0,Rensselaer,36083.0,"Rensselaer, New York, US",324.48303237269556,,,84036083,USA
New York,US,2020-06-19 08:36:53.430046,42.70145109,-78.22199579,93,,,93.0,Wyoming,36121.0,"Wyoming, New York, US",233.3224616774129,,,84036121,USA
North Carolina,US,2020-06-19 08:36:53.430046,35.3506925,-83.83369267,6,0.0,,6.0,Graham,37075.0,"Graham, North Carolina, US",71.08162539983414,,,84037075,USA
Ohio,US,2020-06-19 08:36:53.430046,41.00250487,-83.66838948,62,1.0,,61.0,Hancock,39063.0,"Hancock, Ohio, US",81.81254371033081,,,84039063,USA
Ohio,US,2020-06-19 08:36:53.430046,41.62101218,-83.65468618,2468,291.0,,2177.0,Lucas,39095.0,"Lucas, Ohio, US",576.1670417510995,,,84039095,USA
Oklahoma,US,2020-06-19 08:36:53.430046,36.796296999999996,-97.78638765,2,0.0,,2.0,Grant,40053.0,"Grant, Oklahoma, US",46.157396722824835,,,84040053,USA
Oklahoma,US,2020-06-19 08:36:53.430046,34.41635232,-95.37603505,7,0.0,,7.0,Pushmataha,40127.0,"Pushmataha, Oklahoma, US",63.08579668348955,,,84040127,USA
Oklahoma,US,2020-06-19 08:36:53.430046,35.49447108,-94.75463785,21,3.0,,18.0,Sequoyah,40135.0,"Sequoyah, Oklahoma, US",50.518415165147104,,,84040135,USA
Oklahoma,US,2020-06-19 08:36:53.430046,36.74777635,-101.4889765,976,6.0,,970.0,Texas,40139.0,"Texas, Oklahoma, US",4884.15152879948,,,84040139,USA
Oregon,US,2020-06-19 08:36:53.430046,45.37160076,-120.20488689999999,0,0.0,,0.0,Gilliam,41021.0,"Gilliam, Oregon, US",0.0,,,84041021,USA
Pennsylvania,US,2020-06-19 08:36:53.430046,40.49527404,-78.71377428,61,3.0,,42.0,Cambria,42021.0,"Cambria, Pennsylvania, US",34.56433575027651,,,84042021,USA
Pennsylvania,US,2020-06-19 08:36:53.430046,39.92913544,-78.11163677,17,1.0,,14.0,Fulton,42057.0,"Fulton, Pennsylvania, US",103.2346868547832,,,84042057,USA
Pennsylvania,US,2020-06-19 08:36:53.430046,40.42162652,-77.97673273,239,4.0,,228.0,Huntingdon,42061.0,"Huntingdon, Pennsylvania, US",513.9110402268298,,,84042061,USA
Pennsylvania,US,2020-06-19 08:36:53.430046,40.75182733,-75.30471829,3270,249.0,,2924.0,Northampton,42095.0,"Northampton, Pennsylvania, US",1039.3566667212604,,,84042095,USA
Pennsylvania,US,2020-06-19 08:36:53.430046,41.77255149,-77.25433032,20,2.0,,14.0,Tioga,42117.0,"Tioga, Pennsylvania, US",39.41760488778301,,,84042117,USA
South Carolina,US,2020-06-19 08:36:53.430046,34.22333378,-82.46170658,73,0.0,,73.0,Abbeville,45001.0,"Abbeville, South Carolina, US",297.63118196273496,,,84045001,USA
South Carolina,US,2020-06-19 08:36:53.430046,33.20222596,-79.94654523,458,20.0,,438.0,Berkeley,45015.0,"Berkeley, South Carolina, US",200.95916316743234,,,84045015,USA
South Carolina,US,2020-06-19 08:36:53.430046,34.07859748,-79.36400756,118,5.0,,113.0,Marion,45067.0,"Marion, South Carolina, US",384.90393711061097,,,84045067,USA
South Carolina,US,2020-06-19 08:36:53.430046,34.59905577,-79.67561152,245,3.0,,242.0,Marlboro,45069.0,"Marlboro, South Carolina, US",938.0503867064859,,,84045069,USA
South Dakota,US,2020-06-19 08:36:53.430046,43.71756379,-99.08118954,13,0.0,5.0,8.0,Brule,46015.0,"Brule, South Dakota, US",245.42193694544082,,,84046015,USA
South Dakota,US,2020-06-19 08:36:53.430046,45.75870838,-97.59855639,5,0.0,4.0,1.0,Marshall,46091.0,"Marshall, South Dakota, US",101.31712259371834,,,84046091,USA
South Dakota,US,2020-06-19 08:36:53.430046,44.97881876,-101.6654622,2,0.0,1.0,1.0,Ziebach,46137.0,"Ziebach, South Dakota, US",72.5689404934688,,,84046137,USA
Tennessee,US,2020-06-19 08:36:53.430046,36.49609412,-87.38550661,356,5.0,147.0,204.0,Montgomery,47125.0,"Montgomery, Tennessee, US",170.34063341834417,,,84047125,USA
